epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,187.883,1.42602,1.62234,1.27985,0.44953,0.11111,0.06562,0.00704,3.3148,4.36878,5.20054,0.0008436,0.0008436,0.0008436
62,188.471,1.71037,1.65303,1.43383,0.09577,0.11111,0.02471,0.00298,3.4115,9.81125,5.24936,0.000851621,0.000851621,0.000851621
63,189.037,1.85581,1.88591,1.60449,0.09577,0.11111,0.02471,0.00298,3.4115,9.81125,5.24936,0.000859444,0.000859444,0.000859444
64,189.629,1.78276,1.53795,1.73005,0.01768,0.11111,0.00916,0.00165,3.26773,38.6588,4.51285,0.000867069,0.000867069,0.000867069
65,190.259,1.59675,1.35099,1.36276,0.01768,0.11111,0.00916,0.00165,3.26773,38.6588,4.51285,0.000874496,0.000874496,0.000874496
66,190.867,1.58276,1.54413,1.45502,0.01212,0.22222,0.00534,0.00095,3.36954,68.5242,4.46796,0.000881725,0.000881725,0.000881725
67,191.452,1.46352,1.36902,1.43404,0.01212,0.22222,0.00534,0.00095,3.36954,68.5242,4.46796,0.000888756,0.000888756,0.000888756
68,192.023,1.5177,1.2806,1.40305,0.01907,0.11111,0.00591,0.00094,3.08825,35.9693,3.94277,0.000895589,0.000895589,0.000895589
69,192.572,1.52043,1.28888,1.40516,0.01907,0.11111,0.00591,0.00094,3.08825,35.9693,3.94277,0.000902224,0.000902224,0.000902224
70,193.186,1.26575,1.07194,1.17571,0.04694,0.11111,0.00899,0.00112,2.78144,5.45114,3.25272,0.000908661,0.000908661,0.000908661
71,193.742,1.07704,0.8889,1.11928,0.04694,0.11111,0.00899,0.00112,2.78144,5.45114,3.25272,0.0009149,0.0009149,0.0009149
72,194.316,1.34092,1.16177,1.34472,0.00684,0.11111,0.00195,0.0003,2.7178,4.69273,3.00141,0.000920941,0.000920941,0.000920941
73,194.98,1.49119,1.09411,1.27256,0.00684,0.11111,0.00195,0.0003,2.7178,4.69273,3.00141,0.000926784,0.000926784,0.000926784
74,195.667,1.3488,1.14903,1.28363,0.00333,0.44444,0.00233,0.00045,3.02025,4.9778,3.07412,0.000932429,0.000932429,0.000932429
75,196.277,1.45682,1.38474,1.52221,0.00333,0.44444,0.00233,0.00045,3.02025,4.9778,3.07412,0.000937876,0.000937876,0.000937876
76,196.912,1.39265,1.07191,1.36203,0.00167,0.22222,0.00074,0.00018,3.55504,5.09683,3.21736,0.000943125,0.000943125,0.000943125
77,197.533,1.28778,1.02979,1.33933,0.00167,0.22222,0.00074,0.00018,3.55504,5.09683,3.21736,0.000948176,0.000948176,0.000948176
78,198.175,1.51168,1.3013,1.5249,0.00333,0.44444,0.00265,0.00039,3.68975,5.34156,2.93094,0.000953029,0.000953029,0.000953029
79,198.731,1.49438,1.17834,1.31281,0.00333,0.44444,0.00265,0.00039,3.68975,5.34156,2.93094,0.000957684,0.000957684,0.000957684
80,199.301,1.51746,1.15,1.2978,0.00333,0.44444,0.00509,0.00107,3.43198,4.35213,2.70094,0.000962141,0.000962141,0.000962141
81,199.898,1.29965,1.03494,1.22175,0.00333,0.44444,0.00509,0.00107,3.43198,4.35213,2.70094,0.0009664,0.0009664,0.0009664
82,200.513,1.35896,1.06992,1.20708,0.01034,0.11111,0.00385,0.00132,3.25162,4.55311,2.76984,0.000970461,0.000970461,0.000970461
